
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004101                       # Number of seconds simulated (Second)
simTicks                                   4101465000                       # Number of ticks simulated (Tick)
finalTick                                  4101465000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    318.96                       # Real time elapsed on the host (Second)
hostTickRate                                 12858812                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     686664                       # Number of bytes of host memory used (Byte)
simInsts                                      6008058                       # Number of instructions simulated (Count)
simOps                                        9515719                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    18836                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      29833                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          4101466                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.682661                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.464856                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         9528109                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11558933                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     90                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                12379                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             16313                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4080400                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.832794                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.383200                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    851024     20.86%     20.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    661162     16.20%     37.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    639143     15.66%     52.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    434031     10.64%     63.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    418822     10.26%     73.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    303988      7.45%     81.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    453417     11.11%     92.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    148842      3.65%     95.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    169971      4.17%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4080400                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  119499     32.18%     32.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     32.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     32.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     32.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     32.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     32.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     32.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     32.18% # attempts to use FU when none available (Count)
