
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002415                       # Number of seconds simulated (Second)
simTicks                                   2415488500                       # Number of ticks simulated (Tick)
finalTick                                  2415488500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    208.58                       # Real time elapsed on the host (Second)
hostTickRate                                 11580500                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     686656                       # Number of bytes of host memory used (Byte)
simInsts                                      6008009                       # Number of instructions simulated (Count)
simOps                                        9515624                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    28804                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      45620                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          4830978                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.804090                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.243642                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         9528380                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11588742                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    107                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                12751                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             16005                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             4793253                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.417720                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.314025                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1498547     31.26%     31.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    690098     14.40%     45.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    541033     11.29%     56.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    465839      9.72%     66.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    493882     10.30%     76.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    544286     11.36%     88.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    316516      6.60%     94.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    121409      2.53%     97.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    121643      2.54%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               4793253                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   82237     23.72%     23.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     23.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     23.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     23.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     23.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     23.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     23.72% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     23.72% # attempts to use FU when none available (Count)
