
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000991                       # Number of seconds simulated (Second)
simTicks                                    990610000                       # Number of ticks simulated (Tick)
finalTick                                   990610000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    211.34                       # Real time elapsed on the host (Second)
hostTickRate                                  4687320                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     674412                       # Number of bytes of host memory used (Byte)
simInsts                                      2489005                       # Number of instructions simulated (Count)
simOps                                        4044934                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    11777                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      19140                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1981221                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.795989                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.256299                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6846656                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        4                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        6227020                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  50458                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2801720                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3571905                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1954069                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.186694                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.860241                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    681902     34.90%     34.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    120287      6.16%     41.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    110882      5.67%     46.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     97498      4.99%     51.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    135068      6.91%     58.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    159881      8.18%     66.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    378635     19.38%     86.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    178340      9.13%     95.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     91576      4.69%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1954069                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  255810     99.97%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.97% # attempts to use FU when none available (Count)
