
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001043                       # Number of seconds simulated (Second)
simTicks                                   1043139000                       # Number of ticks simulated (Tick)
finalTick                                  1043139000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    122.86                       # Real time elapsed on the host (Second)
hostTickRate                                  8490196                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     683620                       # Number of bytes of host memory used (Byte)
simInsts                                      2902272                       # Number of instructions simulated (Count)
simOps                                        4754875                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    23621                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      38699                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          2086279                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.718843                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.391124                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         7535425                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        6971646                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 137941                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2780537                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3075326                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2046744                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.406213                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.895938                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    712856     34.83%     34.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     51269      2.50%     37.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     64582      3.16%     40.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    214718     10.49%     50.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     58561      2.86%     53.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    160832      7.86%     61.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    491016     23.99%     85.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    180721      8.83%     94.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    112189      5.48%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2046744                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  439454     99.98%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.98% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.98% # attempts to use FU when none available (Count)
