
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002606                       # Number of seconds simulated (Second)
simTicks                                   2606140500                       # Number of ticks simulated (Tick)
finalTick                                  2606140500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    242.80                       # Real time elapsed on the host (Second)
hostTickRate                                 10733502                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     674376                       # Number of bytes of host memory used (Byte)
simInsts                                      8104500                       # Number of instructions simulated (Count)
simOps                                       14471233                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    33378                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      59599                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          5212282                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.643134                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.554885                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14488470                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14500077                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    631                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                17226                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             19698                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5184706                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.796702                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.840610                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1568409     30.25%     30.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1096284     21.14%     51.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    373572      7.21%     58.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    216839      4.18%     62.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    282976      5.46%     68.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    219344      4.23%     72.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    549967     10.61%     83.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    540814     10.43%     93.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    336501      6.49%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5184706                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     288      0.10%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.10% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 81610     27.22%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     27.31% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     27.31% # attempts to use FU when none available (Count)
