
---------- Begin Simulation Statistics ----------
simSeconds                                   0.006905                       # Number of seconds simulated (Second)
simTicks                                   6904682000                       # Number of ticks simulated (Tick)
finalTick                                  6904682000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    445.18                       # Real time elapsed on the host (Second)
hostTickRate                                 15509729                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     686664                       # Number of bytes of host memory used (Byte)
simInsts                                      9997220                       # Number of instructions simulated (Count)
simOps                                       17797059                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    22456                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      39977                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         27618729                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.762641                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.361972                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        17865382                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       38                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       17861586                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    189                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                68355                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             50919                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  25                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            27545658                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.648436                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.482547                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  21904693     79.52%     79.52% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    991474      3.60%     83.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1567576      5.69%     88.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    608601      2.21%     91.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1045656      3.80%     94.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1007997      3.66%     98.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    329571      1.20%     99.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     11598      0.04%     99.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     78492      0.28%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              27545658                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   50781     15.30%     15.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     15.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     15.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     15.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     15.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     15.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     15.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     15.30% # attempts to use FU when none available (Count)
